epoch,lr,loss
0.0,0.01,0.6858339309692383
1.0,0.01,0.70366370677948
2.0,0.01,0.6848655939102173
3.0,0.01,0.6458321213722229
4.0,0.01,0.6273802518844604
5.0,0.01,0.6221610903739929
6.0,0.01,0.6010127663612366
7.0,0.01,0.7254583239555359
8.0,0.01,0.6495456695556641
9.0,0.01,0.6287356019020081
10.0,0.01,0.648576557636261
11.0,0.01,0.6699299216270447
12.0,0.01,0.5809535384178162
13.0,0.01,0.5324131846427917
14.0,0.01,0.7178090810775757
15.0,0.01,0.6223702430725098
16.0,0.01,0.7193741798400879
17.0,0.01,0.6458837985992432
18.0,0.01,0.6212468147277832
19.0,0.01,0.6209368705749512
20.0,0.01,0.6457860469818115
21.0,0.01,0.595143735408783
22.0,0.01,0.7502017021179199
23.0,0.01,0.7518755793571472
24.0,0.01,0.6730680465698242
25.0,0.01,0.6993141770362854
26.0,0.01,0.6985557675361633
27.0,0.01,0.7796338796615601
28.0,0.01,0.7264828085899353
29.0,0.01,0.6458543539047241
30.0,0.01,0.6997208595275879
31.0,0.01,0.6464651226997375
32.0,0.01,0.7270047664642334
33.0,0.01,0.5924105644226074
34.0,0.01,0.5380081534385681
35.0,0.01,0.5654639005661011
36.0,0.01,0.7277759909629822
37.0,0.01,0.7005724906921387
38.0,0.01,0.5914581418037415
39.0,0.01,0.6184121370315552
40.0,0.01,0.5912092328071594
41.0,0.01,0.6467002630233765
42.0,0.01,0.6734523177146912
43.0,0.01,0.5912072658538818
44.0,0.01,0.646249532699585
45.0,0.01,0.5909019708633423
46.0,0.01,0.7280527949333191
47.0,0.01,0.591349184513092
48.0,0.01,0.701728880405426
49.0,0.01,0.6725088357925415
50.0,0.01,0.7006713151931763
51.0,0.01,0.7288505434989929
52.0,0.01,0.7288833260536194
53.0,0.01,0.7280268669128418
54.0,0.01,0.7275890111923218
55.0,0.01,0.5914891958236694
56.0,0.01,0.6188483238220215
57.0,0.01,0.6461490392684937
58.0,0.01,0.6461607813835144
59.0,0.01,0.591615617275238
60.0,0.01,0.5913181900978088
61.0,0.01,0.5635441541671753
62.0,0.01,0.6187074780464172
63.0,0.01,0.5909595489501953
64.0,0.01,0.5094485878944397
65.0,0.01,0.6189557909965515
66.0,0.01,0.6180655360221863
67.0,0.01,0.5625289082527161
68.0,0.01,0.7017964124679565
69.0,0.01,0.5912120342254639
70.0,0.01,0.7018411159515381
71.0,0.01,0.6462216377258301
72.0,0.01,0.7567882537841797
73.0,0.01,0.5361459255218506
74.0,0.01,0.7284507155418396
75.0,0.01,0.6192795634269714
76.0,0.01,0.6463010311126709
77.0,0.01,0.6181221008300781
78.0,0.01,0.7007832527160645
79.0,0.01,0.7010452151298523
80.0,0.01,0.5089946985244751
81.0,0.01,0.6187052726745605
82.0,0.01,0.7571606040000916
83.0,0.01,0.701606810092926
84.0,0.01,0.5629525780677795
85.0,0.01,0.6460736989974976
86.0,0.01,0.7016934752464294
87.0,0.01,0.6727731823921204
88.0,0.01,0.7011626958847046
89.0,0.01,0.6734256148338318
90.0,0.01,0.7563925981521606
91.0,0.01,0.6192492842674255
92.0,0.01,0.6740983724594116
93.0,0.01,0.6729630827903748
94.0,0.01,0.6459507942199707
95.0,0.01,0.7009944915771484
96.0,0.01,0.6735630631446838
97.0,0.01,0.5643489360809326
98.0,0.01,0.5640188455581665
99.0,0.01,0.5917839407920837
